employee_id,name,department,salary,performance,hire_date
EMP090,Bob Smith 090,Sales,63405,Average,2019-03-20
EMP091,Bob Smith 091,Finance,96959,Average,2023-02-01
EMP092,Frank Miller 092,HR,119457,Excellent,2021-02-27
EMP093,Jack Anderson 093,Marketing,73386,Excellent,2022-12-22
EMP094,Grace Lee 094,Engineering,108146,Good,2021-01-15
EMP095,Grace Lee 095,Engineering,83279,Average,2022-09-20
EMP096,Bob Smith 096,Operations,79363,Average,2022-09-27
EMP097,Grace Lee 097,Sales,92743,Average,2022-02-09
EMP098,Carol Davis 098,Marketing,95108,Poor,2022-10-19
EMP099,Carol Davis 099,Finance,114593,Average,2021-04-11
